State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Fatehgarh,Bassi Pathana,Tomato,Vegetables,0.20,2000,2500,2200,2019-12-22
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.06,1100,1300,1200,2019-12-22
Punjab,Ferozpur,Guru Har Sahai,Tomato,Vegetables,1.11,1400,1600,1500,2019-12-22
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-22
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.40,1200,1600,1400,2019-12-22
Punjab,Gurdaspur,F.G.Churian,Tomato,Vegetables,0.18,1980,2000,1990,2019-12-22
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.00,1200,1500,1500,2019-12-22
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,13.00,1500,1800,1700,2019-12-22
Punjab,Jalandhar,Nakodar,Other,Vegetables,0.20,1700,1700,1700,2019-12-22
Punjab,Moga,Moga,Other,Vegetables,1.10,1300,1500,1400,2019-12-22
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.40,1500,2000,2000,2019-12-22
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,1500,1900,1700,2019-12-22
Punjab,Mohali,Kharar,Tomato,Vegetables,0.60,1500,1800,1600,2019-12-22
Punjab,Mohali,Lalru,Other,Vegetables,0.85,1000,1500,1200,2019-12-22
Punjab,Muktsar,Muktsar,Tomato,Vegetables,0.50,1000,1500,1200,2019-12-22
Punjab,Nawanshahr,Banga,Other,Vegetables,4.40,1293,1700,1511,2019-12-22
Punjab,Patiala,Dudhansadhan,Other,Vegetables,0.30,1000,1400,1200,2019-12-22
Punjab,Patiala,Nabha,Other,Vegetables,6.60,900,1600,1200,2019-12-22
Punjab,Patiala,Patran,Other,Vegetables,2.00,800,1000,960,2019-12-22
Punjab,Sangrur,Dhuri,Other,Vegetables,0.20,1200,1300,1250,2019-12-22
Punjab,Sangrur,Khanauri,Other,Vegetables,0.20,1200,1400,1300,2019-12-22
Punjab,Sangrur,Malerkotla,Other,Vegetables,4.50,1250,1650,1400,2019-12-22
Punjab,Sangrur,Sangrur,Tomato,Vegetables,3.00,1000,1100,1100,2019-12-22
Punjab,Sangrur,Sunam,Tomato,Vegetables,1.00,1000,2000,1500,2019-12-22
Punjab,Tarntaran,Patti,Other,Vegetables,0.30,2400,3000,2600,2019-12-22
-,-,-,-,Punjab Sub Total,49.09,-,-,-,
-,-,-,-,Total:-,49.09,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,59.70,600,1500,1000,2019-12-23
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.30,2500,2500,2500,2019-12-23
Punjab,Barnala,Barnala,Other,Vegetables,3.41,800,1175,988,2019-12-23
Punjab,Bhatinda,Bhagta Bhai Ka,Other,Vegetables,0.20,1700,1700,1700,2019-12-23
Punjab,Bhatinda,Bhucho,Other,Vegetables,0.10,2500,2700,2600,2019-12-23
Punjab,Bhatinda,Raman,Other,Vegetables,0.80,1225,1300,1275,2019-12-23
Punjab,Faridkot,Faridkot,Tomato,Vegetables,1.66,1000,1500,1200,2019-12-23
Punjab,Faridkot,Jaitu,Deshi,Vegetables,0.11,1400,1400,1400,2019-12-23
Punjab,Fatehgarh,Bassi Pathana,Tomato,Vegetables,1.00,2000,2500,2200,2019-12-23
Punjab,Fatehgarh,Khamano,Tomato,Vegetables,0.20,2000,2000,2000,2019-12-23
Punjab,Fazilka,Abohar,Tomato,Vegetables,5.35,800,1315,1255,2019-12-23
Punjab,Fazilka,Jalalabad,Other,Vegetables,0.38,1200,1500,1400,2019-12-23
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.05,1100,1300,1200,2019-12-23
Punjab,Ferozpur,Firozepur City,Other,Vegetables,8.50,1000,1350,1150,2019-12-23
Punjab,Ferozpur,Guru Har Sahai,Tomato,Vegetables,0.95,1400,1600,1500,2019-12-23
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-23
Punjab,Ferozpur,Mamdot,Other,Vegetables,0.60,1600,1700,1650,2019-12-23
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.40,1200,1500,1400,2019-12-23
Punjab,Gurdaspur,Dinanagar,Tomato,Vegetables,1.00,1500,1800,1600,2019-12-23
Punjab,Gurdaspur,F.G.Churian,Tomato,Vegetables,0.09,1980,2000,1990,2019-12-23
Punjab,Gurdaspur,Gurdaspur,Other,Vegetables,2.20,1500,2000,1800,2019-12-23
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.20,1500,1700,1700,2019-12-23
Punjab,Hoshiarpur,Garh Shankar,Deshi,Vegetables,2.65,1000,1500,1200,2019-12-23
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Tomato,Vegetables,2.20,1400,1800,1500,2019-12-23
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,1.80,1300,1700,1500,2019-12-23
Punjab,Hoshiarpur,Mukerian,Tomato,Vegetables,2.00,2000,3000,2500,2019-12-23
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.32,1200,1550,1400,2019-12-23
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.00,1100,1400,1300,2019-12-23
Punjab,Jalandhar,Adampur,Other,Vegetables,0.90,1300,1500,1500,2019-12-23
Punjab,Jalandhar,Goraya,Other,Vegetables,0.20,1300,1300,1300,2019-12-23
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,127.50,200,800,600,2019-12-23
Punjab,Jalandhar,Nakodar,Other,Vegetables,0.10,1800,1800,1800,2019-12-23
Punjab,Ludhiana,Jagraon,Other,Vegetables,3.00,1400,1600,1500,2019-12-23
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.30,1200,1500,1400,2019-12-23
Punjab,Moga,Moga,Other,Vegetables,7.60,1000,1400,1200,2019-12-23
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,4.00,1500,1800,1800,2019-12-23
Punjab,Mohali,Kharar,Tomato,Vegetables,1.00,1200,1800,1400,2019-12-23
Punjab,Mohali,Kurali,Other,Vegetables,1.50,1800,1900,1850,2019-12-23
Punjab,Mohali,Lalru,Other,Vegetables,0.85,1100,1300,1200,2019-12-23
Punjab,Muktsar,Giddarbaha,Tomato,Vegetables,0.50,1000,1200,1100,2019-12-23
Punjab,Muktsar,Malout,Tomato,Vegetables,2.70,800,1200,1000,2019-12-23
Punjab,Nawanshahr,Balachaur,Other,Vegetables,0.70,2000,2000,2000,2019-12-23
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Other,Vegetables,1.07,1500,2000,1800,2019-12-23
Punjab,Pathankot,Pathankot,Tomato,Vegetables,14.80,1200,1600,1400,2019-12-23
Punjab,Patiala,Nabha,Other,Vegetables,4.20,1000,1500,1200,2019-12-23
Punjab,Patiala,Patiala,Tomato,Vegetables,37.20,1000,1700,1500,2019-12-23
Punjab,Patiala,Rajpura,Local,Vegetables,3.30,1000,2000,1500,2019-12-23
Punjab,Sangrur,Dhuri,Other,Vegetables,0.20,1000,1200,1100,2019-12-23
Punjab,Sangrur,Khanauri,Other,Vegetables,0.20,1200,1400,1300,2019-12-23
Punjab,Sangrur,Malerkotla,Other,Vegetables,5.50,1300,1800,1500,2019-12-23
Punjab,Sangrur,Sangrur,Tomato,Vegetables,3.00,1000,1200,1200,2019-12-23
Punjab,Sangrur,Sunam,Tomato,Vegetables,1.00,1500,2000,1800,2019-12-23
Punjab,Tarntaran,Patti,Other,Vegetables,0.60,1500,1600,1500,2019-12-23
Punjab,Tarntaran,Tarantaran,Other,Vegetables,1.10,1800,2500,2100,2019-12-23
-,-,-,-,Punjab Sub Total,321.39,-,-,-,
-,-,-,-,Total:-,321.39,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,200.30,500,1400,1100,2019-12-24
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.25,2500,2500,2500,2019-12-24
Punjab,Bhatinda,Bhagta Bhai Ka,Other,Vegetables,0.20,1700,1700,1700,2019-12-24
Punjab,Bhatinda,Goniana,Other,Vegetables,0.15,1400,1500,1500,2019-12-24
Punjab,Bhatinda,Maur,Other,Vegetables,0.40,1000,1200,1100,2019-12-24
Punjab,Bhatinda,Raman,Other,Vegetables,0.40,1100,1250,1200,2019-12-24
Punjab,Faridkot,Faridkot,Tomato,Vegetables,1.71,1000,1500,1300,2019-12-24
Punjab,Faridkot,Kotkapura,Tomato,Vegetables,2.00,1200,1500,1400,2019-12-24
Punjab,Fatehgarh,Bassi Pathana,Tomato,Vegetables,1.20,2000,2500,2200,2019-12-24
Punjab,Fatehgarh,Khamano,Tomato,Vegetables,0.20,1600,1600,1600,2019-12-24
Punjab,Fatehgarh,Sirhind,Other,Vegetables,3.60,1000,1500,1200,2019-12-24
Punjab,Fazilka,Abohar,Tomato,Vegetables,9.76,800,1450,1000,2019-12-24
Punjab,Fazilka,Jalalabad,Other,Vegetables,1.60,1100,1300,1200,2019-12-24
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.06,900,1100,1000,2019-12-24
Punjab,Ferozpur,Firozepur City,Other,Vegetables,6.20,1000,1350,1175,2019-12-24
Punjab,Ferozpur,Guru Har Sahai,Tomato,Vegetables,1.05,1400,1500,1500,2019-12-24
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-24
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.30,1400,1800,1500,2019-12-24
Punjab,Gurdaspur,Gurdaspur,Other,Vegetables,2.10,1800,2000,1900,2019-12-24
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.20,1500,2000,2000,2019-12-24
Punjab,Hoshiarpur,Garh Shankar,Deshi,Vegetables,1.58,1000,1400,1200,2019-12-24
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,12.00,1200,1500,1400,2019-12-24
Punjab,Hoshiarpur,Mukerian,Tomato,Vegetables,1.50,2000,3000,2600,2019-12-24
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.30,1100,1450,1200,2019-12-24
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,0.80,1200,1300,1250,2019-12-24
Punjab,Jalandhar,Adampur,Other,Vegetables,0.90,1300,1500,1500,2019-12-24
Punjab,Jalandhar,Goraya,Other,Vegetables,0.20,1300,1300,1300,2019-12-24
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,47.20,400,800,600,2019-12-24
Punjab,kapurthala,Phagwara,Other,Vegetables,12.80,990,1250,1094,2019-12-24
Punjab,Ludhiana,Jagraon,Other,Vegetables,3.50,1200,1500,1400,2019-12-24
Punjab,Ludhiana,Sahnewal,Tomato,Vegetables,0.20,1400,1400,1400,2019-12-24
Punjab,Ludhiana,Samrala,Other,Vegetables,1.00,1100,1500,1300,2019-12-24
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.40,1200,1500,1400,2019-12-24
Punjab,Moga,Dharamkot,Other,Vegetables,0.15,2000,2000,2000,2019-12-24
Punjab,Moga,Moga,Other,Vegetables,5.10,1000,1800,1500,2019-12-24
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.50,1500,1600,1600,2019-12-24
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,1600,2000,1800,2019-12-24
Punjab,Mohali,Kharar,Tomato,Vegetables,0.80,1200,1500,1400,2019-12-24
Punjab,Mohali,Kurali,Other,Vegetables,1.00,1800,2000,1900,2019-12-24
Punjab,Mohali,Lalru,Other,Vegetables,0.86,800,1500,1000,2019-12-24
Punjab,Muktsar,Giddarbaha,Tomato,Vegetables,0.87,1200,1400,1300,2019-12-24
Punjab,Muktsar,Malout,Tomato,Vegetables,2.70,900,1200,1100,2019-12-24
Punjab,Nawanshahr,Balachaur,Other,Vegetables,0.80,2000,2200,2100,2019-12-24
Punjab,Nawanshahr,Banga,Other,Vegetables,3.10,1249,1611,1394,2019-12-24
Punjab,Pathankot,Pathankot,Tomato,Vegetables,16.90,800,1500,1200,2019-12-24
Punjab,Patiala,Dudhansadhan,Other,Vegetables,0.20,1000,1500,1300,2019-12-24
Punjab,Patiala,Nabha,Other,Vegetables,5.00,1000,1600,1200,2019-12-24
Punjab,Patiala,Patiala,Tomato,Vegetables,39.00,1200,1400,1300,2019-12-24
Punjab,Patiala,Patran,Other,Vegetables,1.20,700,1000,939,2019-12-24
Punjab,Patiala,Rajpura,Local,Vegetables,4.70,1100,2000,1550,2019-12-24
Punjab,Sangrur,Bhawanigarh,Other,Vegetables,1.40,1000,1200,1100,2019-12-24
Punjab,Sangrur,Dhuri,Other,Vegetables,0.20,1000,1200,1100,2019-12-24
Punjab,Sangrur,Khanauri,Other,Vegetables,0.20,1300,1500,1400,2019-12-24
Punjab,Sangrur,Malerkotla,Other,Vegetables,4.80,1250,1600,1400,2019-12-24
Punjab,Sangrur,Sangrur,Tomato,Vegetables,3.00,1000,1200,1200,2019-12-24
Punjab,Tarntaran,Patti,Other,Vegetables,0.40,1400,1600,1500,2019-12-24
Punjab,Tarntaran,Tarantaran,Other,Vegetables,1.20,1800,2500,2200,2019-12-24
-,-,-,-,Punjab Sub Total,409.44,-,-,-,
-,-,-,-,Total:-,409.44,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,27.80,500,1500,1100,2019-12-25
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.28,2300,2300,2300,2019-12-25
Punjab,Barnala,Barnala,Other,Vegetables,1.90,800,1300,1050,2019-12-25
Punjab,Bhatinda,Bathinda,Other,Vegetables,19.50,1000,1500,1200,2019-12-25
Punjab,Bhatinda,Maur,Other,Vegetables,0.40,1000,1200,1100,2019-12-25
Punjab,Bhatinda,Raman,Other,Vegetables,0.20,1000,1200,1150,2019-12-25
Punjab,Faridkot,Faridkot,Tomato,Vegetables,2.30,1000,1300,1100,2019-12-25
Punjab,Faridkot,Jaitu,Deshi,Vegetables,0.10,1400,1400,1400,2019-12-25
Punjab,Fatehgarh,Bassi Pathana,Tomato,Vegetables,1.50,2000,2500,2200,2019-12-25
Punjab,Fatehgarh,Khamano,Tomato,Vegetables,0.10,1600,1600,1600,2019-12-25
Punjab,Fatehgarh,Sirhind,Other,Vegetables,4.60,1000,1500,1200,2019-12-25
Punjab,Fazilka,Abohar,Tomato,Vegetables,9.66,800,1343,1110,2019-12-25
Punjab,Fazilka,Jalalabad,Other,Vegetables,1.30,1000,1300,1200,2019-12-25
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.05,1200,1400,1300,2019-12-25
Punjab,Ferozpur,Firozepur City,Other,Vegetables,6.50,1000,1300,1150,2019-12-25
Punjab,Ferozpur,Guru Har Sahai,Tomato,Vegetables,1.50,1400,1500,1500,2019-12-25
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-25
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.50,1200,1500,1300,2019-12-25
Punjab,Gurdaspur,Kalanaur,Other,Vegetables,0.01,2500,2500,2500,2019-12-25
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.00,1200,1500,1500,2019-12-25
Punjab,Hoshiarpur,Garh Shankar,Deshi,Vegetables,1.80,1200,1600,1400,2019-12-25
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,8.00,1200,1500,1400,2019-12-25
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.28,1100,1350,1200,2019-12-25
Punjab,Jalandhar,Bilga,Other,Vegetables,0.10,2000,2200,2100,2019-12-25
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,48.70,400,800,600,2019-12-25
Punjab,Jalandhar,Lohian Khas,Other,Vegetables,0.10,1600,1800,1700,2019-12-25
Punjab,Jalandhar,Nakodar,Other,Vegetables,0.20,1600,1600,1600,2019-12-25
Punjab,Ludhiana,Jagraon,Other,Vegetables,2.00,1200,1500,1400,2019-12-25
Punjab,Ludhiana,Sahnewal,Tomato,Vegetables,0.30,1200,1500,1500,2019-12-25
Punjab,Ludhiana,Samrala,Other,Vegetables,1.20,1100,1400,1300,2019-12-25
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.30,1200,1500,1400,2019-12-25
Punjab,Moga,Dharamkot,Other,Vegetables,0.21,2000,2000,2000,2019-12-25
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.50,1500,1700,1700,2019-12-25
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,1500,1900,1700,2019-12-25
Punjab,Mohali,Kharar,Tomato,Vegetables,1.20,1200,1600,1400,2019-12-25
